jogador_primario,jogador_secundario,arbitro,pecas_pretas,pecas_brancas,data_inicio,data_fim,vencedor,id,chave_campeonato,chave_salao
Player 196,Player 197,Referee 196,5,11,2022-12-12 19:28:21.864236,2022-12-13 00:28:21.864236,Player 196,196,Championship 196,Venue 196
Player 197,Player 198,Referee 197,1,15,2022-12-11 19:28:21.864254,2022-12-12 00:28:21.864254,Player 197,197,Championship 197,Venue 197
Player 198,Player 199,Referee 198,8,8,2022-12-10 19:28:21.864272,2022-12-10 21:28:21.864272,Player 198,198,Championship 198,Venue 198
Player 199,Player 200,Referee 199,0,16,2022-12-09 19:28:21.864287,2022-12-09 23:28:21.864287,Player 200,199,Championship 199,Venue 199
Player 200,Player 201,Referee 200,6,10,2022-12-08 19:28:21.864305,2022-12-08 20:28:21.864305,Player 200,200,Championship 200,Venue 200
Player 201,Player 202,Referee 201,13,3,2022-12-07 19:28:21.864322,2022-12-07 20:28:21.864322,Player 202,201,Championship 201,Venue 201
Player 202,Player 203,Referee 202,3,13,2022-12-06 19:28:21.864340,2022-12-06 22:28:21.864340,Player 203,202,Championship 202,Venue 202
Player 203,Player 204,Referee 203,3,13,2022-12-05 19:28:21.864358,2022-12-05 23:28:21.864358,Player 204,203,Championship 203,Venue 203
Player 204,Player 205,Referee 204,0,16,2022-12-04 19:28:21.864372,2022-12-04 20:28:21.864372,Player 205,204,Championship 204,Venue 204
Player 205,Player 206,Referee 205,6,10,2022-12-03 19:28:21.864390,2022-12-03 21:28:21.864390,Player 206,205,Championship 205,Venue 205
Player 206,Player 207,Referee 206,3,13,2022-12-02 19:28:21.864408,2022-12-02 23:28:21.864408,Player 207,206,Championship 206,Venue 206
Player 207,Player 208,Referee 207,16,0,2022-12-01 19:28:21.864431,2022-12-01 22:28:21.864431,Player 207,207,Championship 207,Venue 207
Player 208,Player 209,Referee 208,11,5,2022-11-30 19:28:21.864455,2022-11-30 20:28:21.864455,Player 209,208,Championship 208,Venue 208
Player 209,Player 210,Referee 209,2,14,2022-11-29 19:28:21.864472,2022-11-29 20:28:21.864472,Player 209,209,Championship 209,Venue 209
Player 210,Player 211,Referee 210,5,11,2022-11-28 19:28:21.864491,2022-11-28 20:28:21.864491,Player 210,210,Championship 210,Venue 210
Player 211,Player 212,Referee 211,7,9,2022-11-27 19:28:21.864510,2022-11-27 20:28:21.864510,Player 211,211,Championship 211,Venue 211
Player 212,Player 213,Referee 212,4,12,2022-11-26 19:28:21.864529,2022-11-26 22:28:21.864529,Player 213,212,Championship 212,Venue 212
Player 213,Player 214,Referee 213,5,11,2022-11-25 19:28:21.864546,2022-11-25 20:28:21.864546,Player 214,213,Championship 213,Venue 213
Player 214,Player 215,Referee 214,12,4,2022-11-24 19:28:21.864564,2022-11-24 22:28:21.864564,Player 215,214,Championship 214,Venue 214
Player 215,Player 216,Referee 215,10,6,2022-11-23 19:28:21.864583,2022-11-24 00:28:21.864583,Player 215,215,Championship 215,Venue 215
Player 216,Player 217,Referee 216,0,16,2022-11-22 19:28:21.864601,2022-11-22 20:28:21.864601,Player 216,216,Championship 216,Venue 216
Player 217,Player 218,Referee 217,16,0,2022-11-21 19:28:21.864618,2022-11-21 20:28:21.864618,Player 218,217,Championship 217,Venue 217
Player 218,Player 219,Referee 218,3,13,2022-11-20 19:28:21.864634,2022-11-20 23:28:21.864634,Player 219,218,Championship 218,Venue 218
Player 219,Player 220,Referee 219,6,10,2022-11-19 19:28:21.864652,2022-11-19 21:28:21.864652,Player 219,219,Championship 219,Venue 219
Player 220,Player 221,Referee 220,9,7,2022-11-18 19:28:21.864669,2022-11-18 20:28:21.864669,Player 220,220,Championship 220,Venue 220
Player 221,Player 222,Referee 221,5,11,2022-11-17 19:28:21.864683,2022-11-17 20:28:21.864683,Player 221,221,Championship 221,Venue 221
Player 222,Player 223,Referee 222,4,12,2022-11-16 19:28:21.864697,2022-11-16 22:28:21.864697,Player 222,222,Championship 222,Venue 222
Player 223,Player 224,Referee 223,13,3,2022-11-15 19:28:21.864711,2022-11-15 21:28:21.864711,Player 224,223,Championship 223,Venue 223
Player 224,Player 225,Referee 224,5,11,2022-11-14 19:28:21.864724,2022-11-14 20:28:21.864724,Player 224,224,Championship 224,Venue 224
Player 225,Player 226,Referee 225,13,3,2022-11-13 19:28:21.864738,2022-11-14 00:28:21.864738,Player 226,225,Championship 225,Venue 225
Player 226,Player 227,Referee 226,8,8,2022-11-12 19:28:21.864754,2022-11-12 23:28:21.864754,Player 226,226,Championship 226,Venue 226
Player 227,Player 228,Referee 227,2,14,2022-11-11 19:28:21.864772,2022-11-11 22:28:21.864772,Player 228,227,Championship 227,Venue 227
Player 228,Player 229,Referee 228,3,13,2022-11-10 19:28:21.864793,2022-11-10 23:28:21.864793,Player 228,228,Championship 228,Venue 228
Player 229,Player 230,Referee 229,6,10,2022-11-09 19:28:21.864808,2022-11-09 22:28:21.864808,Player 230,229,Championship 229,Venue 229
Player 230,Player 231,Referee 230,3,13,2022-11-08 19:28:21.864823,2022-11-08 21:28:21.864823,Player 231,230,Championship 230,Venue 230
Player 231,Player 232,Referee 231,15,1,2022-11-07 19:28:21.864837,2022-11-08 00:28:21.864837,Player 231,231,Championship 231,Venue 231
Player 232,Player 233,Referee 232,2,14,2022-11-06 19:28:21.864852,2022-11-07 00:28:21.864852,Player 232,232,Championship 232,Venue 232
Player 233,Player 234,Referee 233,12,4,2022-11-05 19:28:21.864868,2022-11-05 22:28:21.864868,Player 234,233,Championship 233,Venue 233
Player 234,Player 235,Referee 234,4,12,2022-11-04 19:28:21.864882,2022-11-04 21:28:21.864882,Player 235,234,Championship 234,Venue 234
Player 235,Player 236,Referee 235,9,7,2022-11-03 19:28:21.864897,2022-11-03 20:28:21.864897,Player 236,235,Championship 235,Venue 235
Player 236,Player 237,Referee 236,10,6,2022-11-02 19:28:21.864913,2022-11-03 00:28:21.864913,Player 237,236,Championship 236,Venue 236
Player 237,Player 238,Referee 237,2,14,2022-11-01 19:28:21.864929,2022-11-01 23:28:21.864929,Player 238,237,Championship 237,Venue 237
Player 238,Player 239,Referee 238,3,13,2022-10-31 19:28:21.864945,2022-11-01 00:28:21.864945,Player 238,238,Championship 238,Venue 238
Player 239,Player 240,Referee 239,5,11,2022-10-30 19:28:21.864960,2022-10-31 00:28:21.864960,Player 240,239,Championship 239,Venue 239
Player 240,Player 241,Referee 240,11,5,2022-10-29 19:28:21.864994,2022-10-30 00:28:21.864994,Player 240,240,Championship 240,Venue 240
Player 241,Player 242,Referee 241,1,15,2022-10-28 19:28:21.865022,2022-10-28 23:28:21.865022,Player 242,241,Championship 241,Venue 241
Player 242,Player 243,Referee 242,1,15,2022-10-27 19:28:21.865038,2022-10-27 23:28:21.865038,Player 243,242,Championship 242,Venue 242
Player 243,Player 244,Referee 243,6,10,2022-10-26 19:28:21.865054,2022-10-26 21:28:21.865054,Player 243,243,Championship 243,Venue 243
Player 244,Player 245,Referee 244,13,3,2022-10-25 19:28:21.865069,2022-10-25 21:28:21.865069,Player 244,244,Championship 244,Venue 244
Player 245,Player 246,Referee 245,3,13,2022-10-24 19:28:21.865083,2022-10-24 21:28:21.865083,Player 246,245,Championship 245,Venue 245
Player 246,Player 247,Referee 246,12,4,2022-10-23 19:28:21.865163,2022-10-23 23:28:21.865163,Player 246,246,Championship 246,Venue 246
Player 247,Player 248,Referee 247,9,7,2022-10-22 19:28:21.865185,2022-10-22 22:28:21.865185,Player 248,247,Championship 247,Venue 247
Player 248,Player 249,Referee 248,12,4,2022-10-21 19:28:21.865201,2022-10-21 23:28:21.865201,Player 248,248,Championship 248,Venue 248
Player 249,Player 250,Referee 249,11,5,2022-10-20 19:28:21.865220,2022-10-21 00:28:21.865220,Player 249,249,Championship 249,Venue 249
Player 250,Player 251,Referee 250,2,14,2022-10-19 19:28:21.865234,2022-10-19 23:28:21.865234,Player 250,250,Championship 250,Venue 250
Player 251,Player 252,Referee 251,7,9,2022-10-18 19:28:21.865250,2022-10-18 22:28:21.865250,Player 252,251,Championship 251,Venue 251
Player 252,Player 253,Referee 252,3,13,2022-10-17 19:28:21.865267,2022-10-17 22:28:21.865267,Player 253,252,Championship 252,Venue 252
Player 253,Player 254,Referee 253,2,14,2022-10-16 19:28:21.865285,2022-10-16 21:28:21.865285,Player 253,253,Championship 253,Venue 253
Player 254,Player 255,Referee 254,10,6,2022-10-15 19:28:21.865301,2022-10-16 00:28:21.865301,Player 254,254,Championship 254,Venue 254
Player 255,Player 256,Referee 255,14,2,2022-10-14 19:28:21.865316,2022-10-15 00:28:21.865316,Player 256,255,Championship 255,Venue 255
Player 256,Player 257,Referee 256,4,12,2022-10-13 19:28:21.865332,2022-10-13 23:28:21.865332,Player 256,256,Championship 256,Venue 256
Player 257,Player 258,Referee 257,8,8,2022-10-12 19:28:21.865348,2022-10-13 00:28:21.865348,Player 257,257,Championship 257,Venue 257
Player 258,Player 259,Referee 258,7,9,2022-10-11 19:28:21.865364,2022-10-11 23:28:21.865364,Player 258,258,Championship 258,Venue 258
Player 259,Player 260,Referee 259,0,16,2022-10-10 19:28:21.865381,2022-10-10 23:28:21.865381,Player 260,259,Championship 259,Venue 259
Player 260,Player 261,Referee 260,2,14,2022-10-09 19:28:21.865396,2022-10-09 21:28:21.865396,Player 260,260,Championship 260,Venue 260
Player 261,Player 262,Referee 261,4,12,2022-10-08 19:28:21.865412,2022-10-08 21:28:21.865412,Player 261,261,Championship 261,Venue 261
Player 262,Player 263,Referee 262,8,8,2022-10-07 19:28:21.865427,2022-10-07 22:28:21.865427,Player 263,262,Championship 262,Venue 262
Player 263,Player 264,Referee 263,2,14,2022-10-06 19:28:21.865453,2022-10-07 00:28:21.865453,Player 263,263,Championship 263,Venue 263
Player 264,Player 265,Referee 264,8,8,2022-10-05 19:28:21.865478,2022-10-05 21:28:21.865478,Player 264,264,Championship 264,Venue 264
Player 265,Player 266,Referee 265,12,4,2022-10-04 19:28:21.865504,2022-10-05 00:28:21.865504,Player 266,265,Championship 265,Venue 265
Player 266,Player 267,Referee 266,3,13,2022-10-03 19:28:21.865531,2022-10-03 20:28:21.865531,Player 266,266,Championship 266,Venue 266
Player 267,Player 268,Referee 267,2,14,2022-10-02 19:28:21.865558,2022-10-02 23:28:21.865558,Player 267,267,Championship 267,Venue 267
Player 268,Player 269,Referee 268,6,10,2022-10-01 19:28:21.865580,2022-10-01 20:28:21.865580,Player 268,268,Championship 268,Venue 268
Player 269,Player 270,Referee 269,9,7,2022-09-30 19:28:21.865600,2022-10-01 00:28:21.865600,Player 269,269,Championship 269,Venue 269
Player 270,Player 271,Referee 270,9,7,2022-09-29 19:28:21.865616,2022-09-29 22:28:21.865616,Player 270,270,Championship 270,Venue 270
Player 271,Player 272,Referee 271,9,7,2022-09-28 19:28:21.865632,2022-09-28 22:28:21.865632,Player 272,271,Championship 271,Venue 271
Player 272,Player 273,Referee 272,10,6,2022-09-27 19:28:21.865653,2022-09-27 20:28:21.865653,Player 272,272,Championship 272,Venue 272
Player 273,Player 274,Referee 273,14,2,2022-09-26 19:28:21.865681,2022-09-26 20:28:21.865681,Player 274,273,Championship 273,Venue 273
Player 274,Player 275,Referee 274,8,8,2022-09-25 19:28:21.865710,2022-09-25 23:28:21.865710,Player 274,274,Championship 274,Venue 274
Player 275,Player 276,Referee 275,8,8,2022-09-24 19:28:21.865741,2022-09-24 22:28:21.865741,Player 275,275,Championship 275,Venue 275
Player 276,Player 277,Referee 276,4,12,2022-09-23 19:28:21.865767,2022-09-23 23:28:21.865767,Player 277,276,Championship 276,Venue 276
Player 277,Player 278,Referee 277,8,8,2022-09-22 19:28:21.865789,2022-09-22 23:28:21.865789,Player 278,277,Championship 277,Venue 277
Player 278,Player 279,Referee 278,3,13,2022-09-21 19:28:21.865809,2022-09-21 22:28:21.865809,Player 278,278,Championship 278,Venue 278
Player 279,Player 280,Referee 279,10,6,2022-09-20 19:28:21.865828,2022-09-21 00:28:21.865828,Player 280,279,Championship 279,Venue 279
Player 280,Player 281,Referee 280,13,3,2022-09-19 19:28:21.865844,2022-09-19 22:28:21.865844,Player 281,280,Championship 280,Venue 280
Player 281,Player 282,Referee 281,2,14,2022-09-18 19:28:21.865861,2022-09-18 22:28:21.865861,Player 281,281,Championship 281,Venue 281
Player 282,Player 283,Referee 282,14,2,2022-09-17 19:28:21.865880,2022-09-17 20:28:21.865880,Player 282,282,Championship 282,Venue 282
Player 283,Player 284,Referee 283,9,7,2022-09-16 19:28:21.865907,2022-09-17 00:28:21.865907,Player 283,283,Championship 283,Venue 283
Player 284,Player 285,Referee 284,14,2,2022-09-15 19:28:21.865929,2022-09-16 00:28:21.865929,Player 284,284,Championship 284,Venue 284
Player 285,Player 286,Referee 285,5,11,2022-09-14 19:28:21.865940,2022-09-14 21:28:21.865940,Player 286,285,Championship 285,Venue 285
Player 286,Player 287,Referee 286,9,7,2022-09-13 19:28:21.865951,2022-09-13 21:28:21.865951,Player 287,286,Championship 286,Venue 286
Player 287,Player 288,Referee 287,12,4,2022-09-12 19:28:21.865962,2022-09-13 00:28:21.865962,Player 287,287,Championship 287,Venue 287
Player 288,Player 289,Referee 288,16,0,2022-09-11 19:28:21.865974,2022-09-11 22:28:21.865974,Player 289,288,Championship 288,Venue 288
Player 289,Player 290,Referee 289,4,12,2022-09-10 19:28:21.865985,2022-09-11 00:28:21.865985,Player 289,289,Championship 289,Venue 289
Player 290,Player 291,Referee 290,13,3,2022-09-09 19:28:21.865995,2022-09-09 22:28:21.865995,Player 290,290,Championship 290,Venue 290
Player 291,Player 292,Referee 291,2,14,2022-09-08 19:28:21.866006,2022-09-09 00:28:21.866006,Player 292,291,Championship 291,Venue 291
Player 292,Player 293,Referee 292,3,13,2022-09-07 19:28:21.866017,2022-09-08 00:28:21.866017,Player 293,292,Championship 292,Venue 292
Player 293,Player 294,Referee 293,16,0,2022-09-06 19:28:21.866029,2022-09-07 00:28:21.866029,Player 294,293,Championship 293,Venue 293
Player 294,Player 295,Referee 294,11,5,2022-09-05 19:28:21.866042,2022-09-06 00:28:21.866042,Player 294,294,Championship 294,Venue 294
Player 295,Player 296,Referee 295,4,12,2022-09-04 19:28:21.866086,2022-09-04 22:28:21.866086,Player 295,295,Championship 295,Venue 295
Player 296,Player 297,Referee 296,3,13,2022-09-03 19:28:21.866103,2022-09-03 23:28:21.866103,Player 297,296,Championship 296,Venue 296
Player 297,Player 298,Referee 297,9,7,2022-09-02 19:28:21.866123,2022-09-02 20:28:21.866123,Player 298,297,Championship 297,Venue 297
Player 298,Player 299,Referee 298,9,7,2022-09-01 19:28:21.866141,2022-09-01 21:28:21.866141,Player 299,298,Championship 298,Venue 298
Player 299,Player 300,Referee 299,0,16,2022-08-31 19:28:21.866161,2022-09-01 00:28:21.866161,Player 299,299,Championship 299,Venue 299
Player 300,Player 301,Referee 300,11,5,2022-08-30 19:28:21.866181,2022-08-30 21:28:21.866181,Player 301,300,Championship 300,Venue 300
Player 301,Player 302,Referee 301,15,1,2022-08-29 19:28:21.866198,2022-08-29 21:28:21.866198,Player 301,301,Championship 301,Venue 301
Player 302,Player 303,Referee 302,15,1,2022-08-28 19:28:21.866216,2022-08-28 20:28:21.866216,Player 303,302,Championship 302,Venue 302
Player 303,Player 304,Referee 303,1,15,2022-08-27 19:28:21.866237,2022-08-28 00:28:21.866237,Player 304,303,Championship 303,Venue 303
Player 304,Player 305,Referee 304,6,10,2022-08-26 19:28:21.866266,2022-08-26 21:28:21.866266,Player 304,304,Championship 304,Venue 304
Player 305,Player 306,Referee 305,4,12,2022-08-25 19:28:21.866295,2022-08-25 20:28:21.866295,Player 305,305,Championship 305,Venue 305
Player 306,Player 307,Referee 306,0,16,2022-08-24 19:28:21.866387,2022-08-24 20:28:21.866387,Player 306,306,Championship 306,Venue 306
Player 307,Player 308,Referee 307,2,14,2022-08-23 19:28:21.866422,2022-08-23 20:28:21.866422,Player 307,307,Championship 307,Venue 307
Player 308,Player 309,Referee 308,0,16,2022-08-22 19:28:21.866454,2022-08-22 20:28:21.866454,Player 309,308,Championship 308,Venue 308
Player 309,Player 310,Referee 309,5,11,2022-08-21 19:28:21.866485,2022-08-21 22:28:21.866485,Player 309,309,Championship 309,Venue 309
Player 310,Player 311,Referee 310,12,4,2022-08-20 19:28:21.866515,2022-08-20 22:28:21.866515,Player 311,310,Championship 310,Venue 310
Player 311,Player 312,Referee 311,14,2,2022-08-19 19:28:21.866545,2022-08-20 00:28:21.866545,Player 312,311,Championship 311,Venue 311
Player 312,Player 313,Referee 312,5,11,2022-08-18 19:28:21.866575,2022-08-18 23:28:21.866575,Player 312,312,Championship 312,Venue 312
Player 313,Player 314,Referee 313,2,14,2022-08-17 19:28:21.866604,2022-08-17 20:28:21.866604,Player 314,313,Championship 313,Venue 313
Player 314,Player 315,Referee 314,6,10,2022-08-16 19:28:21.866627,2022-08-16 21:28:21.866627,Player 314,314,Championship 314,Venue 314
Player 315,Player 316,Referee 315,8,8,2022-08-15 19:28:21.866654,2022-08-15 23:28:21.866654,Player 316,315,Championship 315,Venue 315
Player 316,Player 317,Referee 316,3,13,2022-08-14 19:28:21.866679,2022-08-14 22:28:21.866679,Player 316,316,Championship 316,Venue 316
Player 317,Player 318,Referee 317,15,1,2022-08-13 19:28:21.866700,2022-08-13 20:28:21.866700,Player 317,317,Championship 317,Venue 317
Player 318,Player 319,Referee 318,8,8,2022-08-12 19:28:21.866726,2022-08-12 20:28:21.866726,Player 318,318,Championship 318,Venue 318
Player 319,Player 320,Referee 319,10,6,2022-08-11 19:28:21.866743,2022-08-11 23:28:21.866743,Player 320,319,Championship 319,Venue 319
Player 320,Player 321,Referee 320,1,15,2022-08-10 19:28:21.866766,2022-08-11 00:28:21.866766,Player 320,320,Championship 320,Venue 320
Player 321,Player 322,Referee 321,13,3,2022-08-09 19:28:21.866787,2022-08-09 23:28:21.866787,Player 321,321,Championship 321,Venue 321
Player 322,Player 323,Referee 322,9,7,2022-08-08 19:28:21.866799,2022-08-09 00:28:21.866799,Player 322,322,Championship 322,Venue 322
Player 323,Player 324,Referee 323,7,9,2022-08-07 19:28:21.866817,2022-08-07 20:28:21.866817,Player 324,323,Championship 323,Venue 323
Player 324,Player 325,Referee 324,1,15,2022-08-06 19:28:21.866832,2022-08-07 00:28:21.866832,Player 325,324,Championship 324,Venue 324
Player 325,Player 326,Referee 325,7,9,2022-08-05 19:28:21.866850,2022-08-06 00:28:21.866850,Player 326,325,Championship 325,Venue 325
Player 326,Player 327,Referee 326,10,6,2022-08-04 19:28:21.866878,2022-08-05 00:28:21.866878,Player 327,326,Championship 326,Venue 326
Player 327,Player 328,Referee 327,6,10,2022-08-03 19:28:21.866890,2022-08-03 22:28:21.866890,Player 328,327,Championship 327,Venue 327
Player 328,Player 329,Referee 328,6,10,2022-08-02 19:28:21.866900,2022-08-02 23:28:21.866900,Player 329,328,Championship 328,Venue 328
Player 329,Player 330,Referee 329,1,15,2022-08-01 19:28:21.866910,2022-08-01 23:28:21.866910,Player 329,329,Championship 329,Venue 329
Player 330,Player 331,Referee 330,15,1,2022-07-31 19:28:21.866920,2022-07-31 20:28:21.866920,Player 330,330,Championship 330,Venue 330
Player 331,Player 332,Referee 331,5,11,2022-07-30 19:28:21.866929,2022-07-30 23:28:21.866929,Player 331,331,Championship 331,Venue 331
Player 332,Player 333,Referee 332,1,15,2022-07-29 19:28:21.866939,2022-07-29 22:28:21.866939,Player 333,332,Championship 332,Venue 332
Player 333,Player 334,Referee 333,11,5,2022-07-28 19:28:21.866948,2022-07-28 22:28:21.866948,Player 333,333,Championship 333,Venue 333
Player 334,Player 335,Referee 334,0,16,2022-07-27 19:28:21.866958,2022-07-27 22:28:21.866958,Player 335,334,Championship 334,Venue 334
Player 335,Player 336,Referee 335,11,5,2022-07-26 19:28:21.866967,2022-07-26 22:28:21.866967,Player 335,335,Championship 335,Venue 335
Player 336,Player 337,Referee 336,8,8,2022-07-25 19:28:21.866977,2022-07-25 22:28:21.866977,Player 336,336,Championship 336,Venue 336
Player 337,Player 338,Referee 337,4,12,2022-07-24 19:28:21.866987,2022-07-24 22:28:21.866987,Player 338,337,Championship 337,Venue 337
Player 338,Player 339,Referee 338,13,3,2022-07-23 19:28:21.866997,2022-07-23 23:28:21.866997,Player 338,338,Championship 338,Venue 338
Player 339,Player 340,Referee 339,12,4,2022-07-22 19:28:21.867007,2022-07-23 00:28:21.867007,Player 340,339,Championship 339,Venue 339
Player 340,Player 341,Referee 340,12,4,2022-07-21 19:28:21.867016,2022-07-22 00:28:21.867016,Player 341,340,Championship 340,Venue 340
Player 341,Player 342,Referee 341,8,8,2022-07-20 19:28:21.867026,2022-07-21 00:28:21.867026,Player 342,341,Championship 341,Venue 341
Player 342,Player 343,Referee 342,0,16,2022-07-19 19:28:21.867037,2022-07-19 23:28:21.867037,Player 342,342,Championship 342,Venue 342
Player 343,Player 344,Referee 343,4,12,2022-07-18 19:28:21.867048,2022-07-18 21:28:21.867048,Player 344,343,Championship 343,Venue 343
Player 344,Player 345,Referee 344,14,2,2022-07-17 19:28:21.867058,2022-07-18 00:28:21.867058,Player 344,344,Championship 344,Venue 344
Player 345,Player 346,Referee 345,15,1,2022-07-16 19:28:21.867068,2022-07-17 00:28:21.867068,Player 346,345,Championship 345,Venue 345
Player 346,Player 347,Referee 346,6,10,2022-07-15 19:28:21.867078,2022-07-15 21:28:21.867078,Player 347,346,Championship 346,Venue 346
Player 347,Player 348,Referee 347,4,12,2022-07-14 19:28:21.867089,2022-07-14 20:28:21.867089,Player 348,347,Championship 347,Venue 347
Player 348,Player 349,Referee 348,3,13,2022-07-13 19:28:21.867098,2022-07-14 00:28:21.867098,Player 349,348,Championship 348,Venue 348
Player 349,Player 350,Referee 349,4,12,2022-07-12 19:28:21.867108,2022-07-12 22:28:21.867108,Player 350,349,Championship 349,Venue 349
Player 350,Player 351,Referee 350,6,10,2022-07-11 19:28:21.867117,2022-07-11 22:28:21.867117,Player 350,350,Championship 350,Venue 350
Player 351,Player 352,Referee 351,8,8,2022-07-10 19:28:21.867127,2022-07-10 20:28:21.867127,Player 352,351,Championship 351,Venue 351
Player 352,Player 353,Referee 352,8,8,2022-07-09 19:28:21.867136,2022-07-09 20:28:21.867136,Player 352,352,Championship 352,Venue 352
Player 353,Player 354,Referee 353,6,10,2022-07-08 19:28:21.867146,2022-07-09 00:28:21.867146,Player 354,353,Championship 353,Venue 353
Player 354,Player 355,Referee 354,3,13,2022-07-07 19:28:21.867155,2022-07-07 21:28:21.867155,Player 355,354,Championship 354,Venue 354
Player 355,Player 356,Referee 355,10,6,2022-07-06 19:28:21.867165,2022-07-06 20:28:21.867165,Player 355,355,Championship 355,Venue 355
Player 356,Player 357,Referee 356,16,0,2022-07-05 19:28:21.867175,2022-07-06 00:28:21.867175,Player 357,356,Championship 356,Venue 356
Player 357,Player 358,Referee 357,9,7,2022-07-04 19:28:21.867184,2022-07-04 22:28:21.867184,Player 357,357,Championship 357,Venue 357
Player 358,Player 359,Referee 358,3,13,2022-07-03 19:28:21.867194,2022-07-04 00:28:21.867194,Player 358,358,Championship 358,Venue 358
Player 359,Player 360,Referee 359,11,5,2022-07-02 19:28:21.867204,2022-07-02 20:28:21.867204,Player 359,359,Championship 359,Venue 359
Player 360,Player 361,Referee 360,15,1,2022-07-01 19:28:21.867214,2022-07-01 21:28:21.867214,Player 361,360,Championship 360,Venue 360
Player 361,Player 362,Referee 361,14,2,2022-06-30 19:28:21.867224,2022-07-01 00:28:21.867224,Player 362,361,Championship 361,Venue 361
Player 362,Player 363,Referee 362,3,13,2022-06-29 19:28:21.867234,2022-06-29 23:28:21.867234,Player 362,362,Championship 362,Venue 362
Player 363,Player 364,Referee 363,11,5,2022-06-28 19:28:21.867243,2022-06-29 00:28:21.867243,Player 363,363,Championship 363,Venue 363
Player 364,Player 365,Referee 364,1,15,2022-06-27 19:28:21.867253,2022-06-27 21:28:21.867253,Player 364,364,Championship 364,Venue 364
Player 365,Player 366,Referee 365,9,7,2022-06-26 19:28:21.867262,2022-06-26 21:28:21.867262,Player 366,365,Championship 365,Venue 365
Player 366,Player 367,Referee 366,7,9,2022-06-25 19:28:21.867317,2022-06-25 23:28:21.867317,Player 367,366,Championship 366,Venue 366
Player 367,Player 368,Referee 367,16,0,2022-06-24 19:28:21.867344,2022-06-24 21:28:21.867344,Player 367,367,Championship 367,Venue 367
Player 368,Player 369,Referee 368,16,0,2022-06-23 19:28:21.867367,2022-06-23 21:28:21.867367,Player 368,368,Championship 368,Venue 368
Player 369,Player 370,Referee 369,12,4,2022-06-22 19:28:21.867387,2022-06-22 22:28:21.867387,Player 369,369,Championship 369,Venue 369
Player 370,Player 371,Referee 370,16,0,2022-06-21 19:28:21.867404,2022-06-21 22:28:21.867404,Player 371,370,Championship 370,Venue 370
Player 371,Player 372,Referee 371,11,5,2022-06-20 19:28:21.867420,2022-06-20 23:28:21.867420,Player 371,371,Championship 371,Venue 371
Player 372,Player 373,Referee 372,0,16,2022-06-19 19:28:21.867438,2022-06-19 21:28:21.867438,Player 373,372,Championship 372,Venue 372
Player 373,Player 374,Referee 373,7,9,2022-06-18 19:28:21.867461,2022-06-18 23:28:21.867461,Player 374,373,Championship 373,Venue 373
Player 374,Player 375,Referee 374,2,14,2022-06-17 19:28:21.867483,2022-06-17 22:28:21.867483,Player 375,374,Championship 374,Venue 374
Player 375,Player 376,Referee 375,0,16,2022-06-16 19:28:21.867504,2022-06-16 20:28:21.867504,Player 376,375,Championship 375,Venue 375
Player 376,Player 377,Referee 376,6,10,2022-06-15 19:28:21.867525,2022-06-15 22:28:21.867525,Player 376,376,Championship 376,Venue 376
Player 377,Player 378,Referee 377,16,0,2022-06-14 19:28:21.867546,2022-06-14 23:28:21.867546,Player 378,377,Championship 377,Venue 377
Player 378,Player 379,Referee 378,11,5,2022-06-13 19:28:21.867568,2022-06-13 22:28:21.867568,Player 378,378,Championship 378,Venue 378
Player 379,Player 380,Referee 379,4,12,2022-06-12 19:28:21.867588,2022-06-12 22:28:21.867588,Player 380,379,Championship 379,Venue 379
Player 380,Player 381,Referee 380,0,16,2022-06-11 19:28:21.867610,2022-06-11 22:28:21.867610,Player 381,380,Championship 380,Venue 380
Player 381,Player 382,Referee 381,4,12,2022-06-10 19:28:21.867631,2022-06-10 20:28:21.867631,Player 381,381,Championship 381,Venue 381
Player 382,Player 383,Referee 382,3,13,2022-06-09 19:28:21.867652,2022-06-10 00:28:21.867652,Player 383,382,Championship 382,Venue 382
Player 383,Player 384,Referee 383,8,8,2022-06-08 19:28:21.867680,2022-06-08 22:28:21.867680,Player 383,383,Championship 383,Venue 383
Player 384,Player 385,Referee 384,10,6,2022-06-07 19:28:21.867705,2022-06-07 23:28:21.867705,Player 384,384,Championship 384,Venue 384
Player 385,Player 386,Referee 385,9,7,2022-06-06 19:28:21.867726,2022-06-07 00:28:21.867726,Player 386,385,Championship 385,Venue 385
Player 386,Player 387,Referee 386,15,1,2022-06-05 19:28:21.867748,2022-06-05 23:28:21.867748,Player 387,386,Championship 386,Venue 386
Player 387,Player 388,Referee 387,12,4,2022-06-04 19:28:21.867769,2022-06-04 21:28:21.867769,Player 387,387,Championship 387,Venue 387
Player 388,Player 389,Referee 388,7,9,2022-06-03 19:28:21.867790,2022-06-03 20:28:21.867790,Player 388,388,Championship 388,Venue 388
Player 389,Player 390,Referee 389,10,6,2022-06-02 19:28:21.867811,2022-06-02 21:28:21.867811,Player 390,389,Championship 389,Venue 389
Player 390,Player 391,Referee 390,6,10,2022-06-01 19:28:21.867833,2022-06-01 21:28:21.867833,Player 390,390,Championship 390,Venue 390
Player 391,Player 392,Referee 391,14,2,2022-05-31 19:28:21.867855,2022-05-31 20:28:21.867855,Player 392,391,Championship 391,Venue 391
